rID,Generic_Case_ID,Generic_Offender_ID,Charge_Number,Sentence_Year,Race,Gender,Age_Group,Offense,Offense_Type,Homicide_Type,Offense_Severity_Group,Sentence_Type,Sentence_Imposed_Months,Sentence_Suspended_Months,Sentence_to_Serve_Months,Sentence_Probation_Months,VVCA_AMT,Fine_AMT,Restitution_AMT,Fine_Suspended_AMT
1681,8757344,5997977,1,2016,Black,M,22-30,First Degree Child Sex Abuse,Sex,,M6,Short Split,60,60,1,60,100,0,0,0
1682,7008105,9303271,1,2016,Black,M,18-21,Robbery,Violent,,M8,Short Split,24,20,4,24,100,0,0,0
1683,3826533,2380132,1,2016,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Long Split,24,14,10,24,100,0,0,0
1684,2527698,7798943,1,2016,Black,M,22-30,Unlawful Possession of Liquid PCP,Drug,,D4,Short Split,6,6,1,12,100,0,0,0
1685,6131010,2364379,1,2016,Black,M,22-30,Unarmed Carjacking,Violent,,M5,Incarceration,120,0,120,0,100,0,0,0
1686,9373865,5573940,1,2016,Black,M,18-21,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Incarceration,18,0,18,0,100,0,0,0
1687,1783953,1034806,1,2016,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D4,Probation,4,4,0,4,100,0,0,0
1688,6985437,1564067,1,2016,Black,M,61-70,Distribution Of a Controlled Substance,Drug,,D2,Probation,18,18,0,12,100,0,0,0
1689,8996014,1869278,1,2016,Black,M,18-21,Burglary Two,Property,,M7,Incarceration,24,0,24,0,100,0,0,0
1690,3669917,3945857,1,2016,Black,M,18-21,Burglary Two,Property,,M7,Incarceration,18,0,18,0,100,0,0,0
1691,2858893,7042138,1,2016,Black,M,22-30,Robbery,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
1692,3871140,285823,1,2016,Black,M,18-21,First Degree Sexual Abuse,Sex,,M6,Incarceration,60,0,60,0,100,0,0,0
1693,3871140,285823,2,2016,Black,M,18-21,Burglary One,Property,,M5,Incarceration,96,0,96,0,100,0,0,0
1694,6871683,7041917,1,2016,Black,F,41-50,Distribution Of a Controlled Substance,Drug,,D3,Probation,18,18,0,12,100,0,0,0
1695,6685130,3242183,1,2016,Black,M,22-30,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Incarceration,84,0,84,0,100,0,0,0
1696,9662215,7156942,1,2016,Black,M,31-40,Murder II,Homicide,Murder II,M2,Incarceration,240,0,240,0,100,0,0,0
1697,7789649,7933299,1,2016,Black,M,15-17,Robbery,Violent,,M5,Incarceration,48,0,48,0,100,0,562,0
1698,7789649,7933299,2,2016,Black,M,15-17,Robbery,Violent,,M5,Incarceration,48,0,48,0,100,0,0,0
1699,7789649,7933299,3,2016,Black,M,15-17,Robbery,Violent,,M5,Incarceration,48,0,48,0,100,0,0,0
1700,8905804,6720466,1,2016,Black,M,51-60,Burglary Two,Property,,M7,Incarceration,48,0,48,0,100,0,0,0
1701,8905804,6720466,2,2016,Black,M,51-60,Burglary Two,Property,,M7,Incarceration,48,0,48,0,100,0,0,0
1702,8905804,6720466,4,2016,Black,M,51-60,Burglary Two,Property,,M7,Incarceration,48,0,48,0,100,0,0,0
1703,7908812,7397228,1,2016,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Short Split,18,16,2,18,100,0,0,0
1704,3392257,1317317,7,2016,Black,M,31-40,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Incarceration,24,0,24,0,100,0,0,0
1705,934895,2704428,1,2016,Black,M,22-30,Assault W/I to Commit Robbery,Violent,,M6,Long Split,48,18,30,24,100,0,0,0
1706,6866643,1435296,1,2016,Black,M,31-40,Robbery,Violent,,M6,Incarceration,72,0,72,0,100,0,0,0
1707,6166379,5470131,1,2016,Black,M,18-21,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Short Split,12,11,1,12,100,0,0,0
1708,8313291,5717382,1,2016,Black,F,18-21,Distribution Of a Controlled Substance,Drug,,D4,Probation,10,10,0,6,100,0,0,0
1709,1348902,3291368,1,2016,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M8,Probation,18,18,0,18,100,0,0,0
1710,358039,466189,1,2016,White,M,22-30,Attempt to Commit Robbery,Violent,,M8,Long Split,24,12,12,12,100,0,0,0
1711,9105105,4953360,1,2016,Black,M,22-30,Robbery,Violent,,M8,Short Split,24,20,4,18,100,0,0,0
1712,905542,9418629,2,2016,Black,F,22-30,Assault With A Dangerous Weapon,Violent,,M6,Short Split,36,36,1,24,100,0,0,0
1713,8421955,8233798,1,2016,Black,M,18-21,Robbery,Violent,,M8,Probation,24,24,0,18,100,0,0,0
1714,4736334,2893450,1,2016,Black,F,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,24,0,24,0,100,0,0,0
1715,3828867,6449234,1,2016,Black,M,31-40,Attempt to Commit Robbery,Violent,,M8,Long Split,28,10,18,36,100,0,0,0
1716,2345223,2348440,1,2016,Black,M,18-21,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Short Split,12,11,1,18,100,0,0,0
1717,7538591,2734340,1,2016,Black,M,22-30,Unlawful Possession of a Firearm (Crime of Violence),Weapon,,M6,Incarceration,12,0,12,0,100,0,0,0
1718,5246252,5693396,1,2016,Black,M,18-21,Prison Breach,Other,,M9,Probation,9,9,0,9,100,0,0,0
1719,1842899,7519600,1,2016,Black,F,31-40,Assault With A Dangerous Weapon,Violent,,M8,Probation,12,12,0,18,100,0,250,0
1720,1842899,7519600,2,2016,Black,F,31-40,Assault With A Dangerous Weapon,Violent,,M8,Probation,6,6,0,0,100,0,0,0
1721,2542958,483257,1,2016,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,12,12,1,6,100,0,0,0
1722,2542958,483257,1,2016,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D2,Short Split,6,6,1,6,100,0,0,0
1723,3564425,8147531,1,2016,Black,M,31-40,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Incarceration,24,0,24,0,100,0,0,0
1724,7771871,4102305,1,2016,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D3,Short Split,14,8,6,12,100,0,0,0
1725,1359542,5928724,1,2016,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Probation,6,6,0,12,100,0,715,0
1726,3013447,9243883,1,2016,Black,M,18-21,Second Degree Child Sex Abuse,Sex,,M6,Incarceration,44,0,44,0,100,0,0,0
1727,79519,6346511,1,2016,Black,M,31-40,Carry Dang Weapon-Outside Home/Business (Prior Felony),Weapon,,M8,Short Split,20,16,4,24,100,0,0,0
1728,1594060,9965390,1,2016,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,9,9,0,12,100,0,0,0
1729,487035,4263817,1,2016,Black,F,31-40,Prison Breach,Other,,M9,Short Split,15,15,1,24,100,0,0,0
1730,6447333,2478431,1,2016,Black,M,18-21,Voluntary Manslaughter,Homicide,Voluntary Manslaughter,M4,Incarceration,72,0,72,0,100,0,0,0
1731,6447333,2478431,2,2016,Black,M,18-21,Carry Dang Weapon-Outside Home/Business (Prior Felony),Weapon,,M8,Incarceration,6,0,6,0,100,0,0,0
1732,1941962,604481,1,2016,White,F,31-40,Unlawful Possession of Liquid PCP,Drug,,D4,Probation,6,6,0,12,100,0,0,0
1733,4264780,4935415,1,2016,Black,M,22-30,Aggravated Assault Knowingly,Violent,,M4,Incarceration,84,0,84,0,100,0,0,0
1734,4264780,4935415,2,2016,Black,M,22-30,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,84,0,84,0,100,0,0,0
1735,465025,1642156,1,2016,Black,M,18-21,Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0
1736,465025,1642156,2,2016,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
1737,465025,1642156,3,2016,Black,M,18-21,Robbery,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
1738,1643163,317076,1,2016,Black,M,15-17,Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0
1739,1643163,317076,2,2016,Black,M,15-17,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
1740,1643163,317076,3,2016,Black,M,15-17,Robbery,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
1741,103280,128579,1,2016,Black,M,15-17,Robbery,Violent,,M5,Incarceration,60,0,60,0,100,0,0,0
1742,103280,128579,2,2016,Black,M,15-17,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
1743,103280,128579,3,2016,Black,M,15-17,Robbery,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
1744,3401782,1999050,1,2016,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Incarceration,24,0,24,0,100,0,0,0
1745,3401782,1999050,2,2016,Black,M,22-30,Unlawful Possession of a Firearm (Crime of Violence),Weapon,,M6,Incarceration,36,0,36,0,100,0,0,0
1746,9928823,110600,1,2016,Black,M,31-40,Burglary One,Property,,M8,Incarceration,18,0,18,0,100,0,0,0
1747,6483781,8452272,1,2016,Black,F,41-50,Fraud 2nd Degree $1000 or More (Felony),Other,,M9,Probation,6,6,0,60,100,0,19666,0
1748,3530389,5961711,1,2016,Black,M,18-21,Prison Breach,Other,,M9,Incarceration,6,0,6,0,100,0,0,0
1749,111981,9675938,2,2016,Black,M,18-21,Poss W/I to Dist a Controlled Substance,Drug,,D4,Probation,10,10,0,12,100,0,0,0
1750,4255513,7116870,1,2016,Black,M,41-50,Poss W/I to Dist Marijuana-Fel,Drug,,D3,Probation,14,14,0,12,100,0,0,0
1751,543781,4775625,1,2016,Black,M,18-21,Contempt - Felony,Other,,M9,Probation,12,12,0,18,100,0,0,0
1752,7815297,7473206,1,2016,White,M,22-30,Attempt to Commit Robbery,Violent,,M8,Short Split,24,18,6,24,100,0,0,0
1753,1447048,3787334,1,2016,White,M,31-40,Assault With A Dangerous Weapon,Violent,,M8,Short Split,24,18,6,24,100,0,0,0
1754,5680107,940335,1,2016,Black,M,18-21,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Long Split,28,16,12,24,100,0,0,0
1755,775968,4062079,2,2016,White,M,18-21,Unauthorized Use of A Vehicle,Property,,M8,Incarceration,20,0,20,0,100,0,0,0
1756,5193494,4182376,2,2016,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D4,Short Split,12,10,2,12,100,0,0,0
1757,3472028,7278482,1,2016,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M8,Long Split,24,12,12,18,100,0,0,0
1758,3472028,7278482,2,2016,Black,M,18-21,Carrying a Pistol Without a License (Outside Home or Place of Business/Prior Felony) 2015,Weapon,,M8,Long Split,24,12,12,18,100,0,0,0
1759,9563442,1253246,1,2016,Black,M,51-60,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,12,12,0,12,100,0,0,0
1760,2276661,9885479,1,2016,Black,M,22-30,Fraud 2nd Degree $1000 or More (Felony),Other,,M9,Probation,12,12,0,36,100,0,10525,0
1761,3436144,7397331,1,2016,Black,M,22-30,Burglary Two,Property,,M8,Short Split,9,3,6,9,100,0,0,0
1762,1851792,4418062,1,2016,Black,M,22-30,Bail Reform Act -Felony,Other,,M9,Incarceration,12,0,12,0,100,0,0,0
1763,9810797,3322823,1,2016,Black,M,51-60,Burglary Two,Property,,M7,Incarceration,48,0,48,0,100,0,0,0
1764,6572499,4461092,1,2016,Black,M,15-17,Robbery,Violent,,M8,Probation,12,12,0,12,100,0,0,0
1765,537433,2536030,1,2016,Black,M,51-60,CPWOL Outside Home or Business in violation of 2nd Emergency Act of 2014 Act 20-0564,Weapon,,M8,Probation,12,12,0,12,100,0,0,0
1766,4887195,8549701,1,2016,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M8,Long Split,24,16,8,24,100,0,0,0
1767,6950829,7985379,1,2016,Black,M,15-17,Distribution Of a Controlled Substance,Drug,,D2,Short Split,12,12,1,18,100,0,0,0
1768,6950829,7985379,2,2016,Black,M,15-17,Distribution Of a Controlled Substance,Drug,,D2,Short Split,12,12,1,18,100,0,0,0
1769,1240656,4847435,1,2016,Black,M,31-40,Distribution Of a Controlled Substance,Drug,,D3,Probation,10,10,0,6,100,0,0,0
1770,6372775,1930244,1,2016,Black,F,22-30,Burglary Two,Property,,M7,Probation,24,24,0,24,100,0,0,0
1771,6372775,1930244,2,2016,Black,F,22-30,Second Degree Cruelty to Children Grave Risk,Other,,M8,Probation,12,12,0,24,100,0,0,0
1772,9930532,8790613,1,2016,Black,M,18-21,Distribution Of a Controlled Substance,Drug,,D4,Short Split,6,6,1,12,100,0,0,0
1773,5340144,9760213,1,2016,Black,M,22-30,Robbery,Violent,,M8,Probation,18,18,0,12,100,0,5,0
1774,8739268,693262,1,2016,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D3,Probation,6,6,0,12,100,0,0,0
1775,2122053,1291483,1,2016,Other or Unknown,,31-40,Distribution Of a Controlled Substance,Drug,,D3,Probation,12,12,0,36,100,0,0,0
1776,2122053,1291483,2,2016,Other or Unknown,,31-40,Distribution Of a Controlled Substance,Drug,,D3,Probation,12,12,0,36,100,0,0,0
1777,7496787,5864873,1,2016,Black,M,18-21,Burglary Two,Property,,M7,Short Split,12,12,1,24,100,0,0,0
1778,5636239,339846,1,2016,Other or Unknown,,15-17,Robbery,Violent,,M6,Short Split,24,24,1,24,100,0,0,0
1779,7261433,2361899,1,2016,Black,M,41-50,Prison Breach,Other,,M9,Short Split,5,4,1,1,100,0,0,0
1780,2097314,9692205,1,2016,Black,M,18-21,Threat to Kidnap or Injure a Person,Violent,,M8,Short Split,20,20,1,36,100,0,0,0
1781,2097314,9692205,1,2016,Black,M,18-21,Threat to Kidnap or Injure a Person,Violent,,M8,Short Split,20,20,1,36,100,0,0,0
1782,1418965,3992592,1,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Short Split,24,24,1,12,100,0,0,0
1783,1655160,5189847,1,2016,Black,M,51-60,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,6,6,0,12,100,0,0,0
1784,3126271,6116274,1,2016,Black,M,15-17,Attempt to Commit Robbery,Violent,,M8,Short Split,15,15,1,24,100,,,
1785,677873,9464906,1,2016,Black,M,31-40,Assault with Significant Bodily Injury,Violent,,M8,Short Split,14,8,6,12,100,0,2000,0
1786,8596797,8721414,2,2016,Black,M,18-21,Assault W/I to Kill,Violent,,M3,Incarceration,144,0,144,0,100,0,0,0
1787,5117413,4924341,3,2016,Black,M,18-21,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Long Split,32,8,24,18,100,0,0,0
1788,54817,5043332,1,2016,Black,M,18-21,Burglary Two,Property,,M8,Probation,18,18,0,14,100,0,500,0
1789,4329916,6940151,1,2016,Black,M,41-50,Burglary Two,Property,,M7,Incarceration,8,0,8,0,100,0,0,0
1790,8825441,8718801,1,2016,Black,M,31-40,Assault with Significant Bodily Injury,Violent,,M8,Probation,18,18,0,24,100,0,180,0
1791,1549641,3016280,1,2016,Black,M,22-30,Robbery,Violent,,M5,Incarceration,36,0,36,0,100,0,0,0
1792,6844042,7204694,1,2016,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Probation,24,24,0,24,100,0,0,0
1793,6844042,7204694,2,2016,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Short Split,24,21,3,24,100,0,0,0
1794,1163274,6014558,1,2016,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M8,Short Split,24,22,1,28,100,0,0,0
1795,4633787,3186520,1,2016,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Short Split,14,14,1,12,100,0,0,0
1796,8785818,2021083,1,2016,Black,M,31-40,Distribution Of a Controlled Substance,Drug,,D2,Probation,24,24,0,18,150,0,0,0
1797,4077173,1219853,1,2016,Black,M,22-30,Contempt - Felony,Other,,M9,Short Split,20,20,1,24,100,0,0,0
1798,5658794,804613,1,2016,Black,M,41-50,Robbery,Violent,,M6,Incarceration,42,0,42,0,100,0,0,0
1799,6141725,7616964,1,2016,Black,M,18-21,Robbery,Violent,,M6,Long Split,30,12,18,18,100,0,0,0
1800,1676162,7616964,1,2016,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M8,Short Split,12,6,6,18,100,0,0,0
1801,3012029,8203609,1,2016,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D4,Probation,10,10,0,18,100,0,0,0
1802,5116860,7002014,1,2016,Black,M,18-21,Poss W/I to Dist a Controlled Substance,Drug,,D4,Probation,3,3,0,12,100,0,0,0
1803,330505,223278,1,2016,Black,F,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D3,Short Split,9,8,1,12,100,0,0,0
1804,180600,8818400,1,2016,Black,M,31-40,Poss W/I to Dist a Controlled Substance,Drug,,D4,Incarceration,7,0,7,0,100,0,0,0
1805,5195183,3361986,2,2016,Black,M,41-50,Unlawful Possession of Liquid PCP,Drug,,D4,Probation,9,9,0,18,100,0,0,0
1806,7710024,3681337,1,2016,Black,M,22-30,Burglary Two,Property,,M7,Incarceration,24,0,24,0,100,0,0,0
1807,5557144,7667493,1,2016,Black,M,31-40,Aggravated Assault Knowingly,Violent,,M4,Incarceration,90,0,90,0,100,0,0,0
1808,5557144,7667493,2,2016,Black,M,31-40,Threat to Kidnap or Injure a Person,Violent,,M8,Incarceration,12,0,12,0,100,0,0,0
1809,2578773,6397981,1,2016,Black,M,51-60,Burglary Two,Property,,M8,Incarceration,27,0,27,0,100,0,0,0
1810,1123175,2376078,1,2016,Other or Unknown,M,,Theft First Degree,Property,,M8,Probation,11,11,0,36,100,0,144581.55,0
1811,5245606,4101168,1,2016,Black,F,31-40,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,6,6,0,18,100,0,0,0
1812,5159012,1680103,1,2016,Black,M,22-30,Assault with Significant Bodily Injury,Violent,,M8,Short Split,12,6,6,12,100,0,0,0
1813,6851649,4239167,1,2016,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M8,Short Split,18,12,6,18,100,0,0,0
1814,60303,8425285,1,2016,Black,M,22-30,Robbery,Violent,,M6,Long Split,52,10,42,36,100,0,0,0
1815,60303,8425285,2,2016,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Long Split,20,10,10,36,100,0,0,0
1816,4777399,3927787,1,2016,Black,M,51-60,Burglary Two,Property,,M7,Long Split,48,12,36,12,100,0,0,0
1817,7210796,1934166,1,2016,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Long Split,24,12,12,12,100,0,0,0
1818,3065789,2619378,1,2016,Black,M,51-60,Burglary Two,Property,,M8,Short Split,14,14,1,6,100,0,0,0
1819,5021319,8238171,1,2016,Black,M,51-60,Unlawful Possession of Liquid PCP,Drug,,D4,Probation,0,0,0,9,100,0,0,0
1820,4873908,369093,1,2016,Black,M,18-21,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,6,6,0,12,100,0,0,0
1821,8547253,7768665,6,2016,Black,M,41-50,Assault W/I to Commit Robbery,Violent,,M6,Incarceration,18,0,18,0,100,0,0,0
1822,7974141,3636834,1,2016,Black,M,31-40,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
1823,4127025,6166607,1,2016,Black,M,22-30,Conspiracy,Other,,M9,Short Split,24,24,1,12,100,0,0,0
1824,4127025,6166607,2,2016,Black,M,22-30,Burglary Two,Property,,M7,Short Split,12,12,1,12,100,0,0,0
1825,2135088,5034585,3,2016,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D4,Probation,6,6,0,12,100,0,0,0
1826,4469708,7285712,1,2016,Black,M,31-40,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Incarceration,24,0,24,0,100,0,0,0
1827,3604475,7017273,1,2016,Black,M,51-60,Distribution Of a Controlled Substance,Drug,,D4,Probation,6,6,0,12,100,0,0,0
1828,9907353,7507045,1,2016,Black,M,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D3,Probation,16,16,0,12,100,0,0,0
1829,5832912,8472284,1,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Long Split,60,36,24,36,100,0,0,0
1830,5832912,8472284,2,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Long Split,28,16,12,36,100,0,0,0
1831,2643909,7634962,1,2016,Black,M,31-40,Distribution Of a Controlled Substance,Drug,,D3,Probation,10,10,0,12,100,0,0,0
1832,956358,2603100,1,2016,Black,M,41-50,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Incarceration,30,0,30,0,100,0,0,0
1833,7058893,1679411,1,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,36,0,36,0,100,0,0,0
1834,7047572,2344807,1,2016,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Incarceration,60,0,60,0,100,0,0,0
1835,7047572,2344807,2,2016,Black,M,18-21,Poss Firearm During Crime of Violence,Weapon,,M5,Incarceration,60,0,60,0,100,0,0,0
1836,9070300,6428480,1,2016,Black,M,18-21,Assault With A Dangerous Weapon,Violent,,M8,Short Split,10,10,1,18,100,0,0,0
1837,2795723,7334765,2,2016,Black,M,31-40,Robbery,Violent,,M8,Incarceration,18,0,18,0,100,0,0,0
1838,483192,1660191,1,2016,Black,M,18-21,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Incarceration,24,0,24,0,100,0,0,0
1839,1159639,7136798,1,2016,Black,M,31-40,Burglary Two,Property,,M7,Incarceration,24,0,24,0,100,0,0,0
1840,1479629,1607250,1,2016,Black,M,22-30,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,10,10,0,12,100,0,0,0
1841,2967333,6970498,1,2016,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Probation,18,18,0,24,100,0,0,0
1842,2029720,3984057,1,2016,Black,M,22-30,Robbery,Violent,,M8,Long Split,32,20,12,28,100,0,0,0
1843,1980957,8619725,1,2016,Black,M,,Murder II,Homicide,Murder II,M2,Incarceration,288,0,288,0,100,0,0,0
1844,3959161,423095,1,2016,Black,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D4,Probation,7,7,0,12,100,0,0,0
1845,9681953,3945857,1,2016,Black,M,18-21,Burglary Two,Property,,M7,Short Split,18,12,6,12,100,0,0,0
1846,8250395,3423343,1,2016,Black,M,51-60,Assault W/I to Commit Robbery,Violent,,M6,Incarceration,84,0,84,0,100,0,0,0
1847,3065439,1754422,1,2016,Black,M,18-21,Carrying A Rifle or Shotgun (Outside Home or Place of Business),Weapon,,M8,Long Split,24,12,12,60,100,0,0,0
1848,1008596,8108040,1,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M8,Probation,18,18,0,24,100,0,0,0
1849,1345644,1765311,1,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,60,0,60,0,100,0,0,0
1850,9820357,2069414,1,2016,White,M,22-30,Burglary One,Property,,M5,Long Split,60,24,36,12,100,0,0,0
1851,7580811,3994156,1,2016,Black,M,31-40,Burglary Two,Property,,M7,Long Split,42,18,24,24,100,0,0,0
1852,5289799,7803909,1,2016,Black,M,15-17,Attempt to Commit Robbery,Violent,,M8,Short Split,15,15,1,24,100,,,
1853,6330554,1759907,1,2016,Black,M,22-30,Assault With A Dangerous Weapon,Violent,,M6,Incarceration,48,0,48,0,100,0,0,0
1854,6481308,5549218,1,2016,Black,F,41-50,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,12,12,0,12,100,0,0,0
1855,2145630,2322708,1,2016,Black,M,18-21,Attempt to Commit Robbery,Violent,,M8,Short Split,24,18,6,24,100,0,0,0
1856,2145630,2322708,2,2016,Black,M,18-21,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,Weapon,,M8,Short Split,9,6,3,12,100,0,0,0
1857,8983171,6171814,4,2016,Black,M,22-30,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,18,18,0,18,100,0,0,0
1858,8983171,6171814,5,2016,Black,M,22-30,Unlawful Possession of Liquid PCP,Drug,,D3,Probation,10,10,0,18,100,0,0,0
1859,1769178,965439,1,2016,Black,M,,Attempt to Commit Robbery,Violent,,M8,Probation,6,6,0,12,100,0,0,0
1860,9009872,2296307,1,2016,Black,M,31-40,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Incarceration,30,0,30,0,100,0,0,0
1861,3213565,8844089,1,2016,Black,M,18-21,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,14,0,14,0,100,0,0,0
1862,1306675,5940306,1,2016,Black,M,31-40,Distribution Of a Controlled Substance,Drug,,D3,Probation,6,6,0,9,100,0,0,0
1863,7503818,6326508,1,2016,Black,M,18-21,Robbery,Violent,,M6,Long Split,36,12,24,12,100,0,0,0
1864,7503818,6326508,2,2016,Black,M,18-21,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Short Split,10,9,1,12,100,0,0,0
1865,5364359,5315548,1,2016,White,M,31-40,Unlawful Possession of Liquid PCP,Drug,,D3,Short Split,12,12,1,18,100,0,0,0
1866,7925404,2330560,1,2016,Black,F,41-50,Distribution Of a Controlled Substance,Drug,,D2,Probation,12,12,0,12,100,0,0,0
1867,7925404,2330560,2,2016,Black,F,41-50,Poss W/I to Dist a Controlled Substance,Drug,,D2,Probation,12,12,0,12,100,0,0,0
1868,5479533,9021888,1,2016,Black,M,22-30,Unlawful Possession of Liquid PCP,Drug,,D4,Probation,8,8,0,12,100,0,0,0
1869,7581101,2635180,1,2016,Black,M,18-21,Flee Law Enforcement Officer,Other,,M8,Probation,8,8,0,12,100,0,0,0
1870,5923927,7665978,3,2016,Black,M,41-50,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Long Split,30,7,23,9,100,0,0,0
1871,5158806,123355,1,2016,Black,M,41-50,Distribution Of a Controlled Substance,Drug,,D3,Probation,14,14,0,12,100,0,0,0
1872,1180226,9878191,1,2016,Black,F,31-40,Distribution Of a Controlled Substance,Drug,,D3,Probation,10,10,0,12,100,0,0,0
1873,789512,8331572,1,2016,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D3,Probation,9,9,0,12,100,0,0,0
1874,9212965,9630439,1,2016,Black,M,22-30,Distribution Of a Controlled Substance,Drug,,D3,Incarceration,14,0,14,0,100,0,0,0
1875,9894340,6702373,1,2016,Black,M,31-40,Bail Reform Act -Felony,Other,,M9,Short Split,12,10,2,24,100,0,0,0
1876,1188285,7218124,2,2016,Black,M,18-21,Unlawful Possession of Liquid PCP,Drug,,D3,Incarceration,6,0,6,0,100,0,0,0
1877,6740372,1125525,1,2016,Black,M,22-30,Contempt - Felony,Other,,M9,Short Split,16,13,3,18,100,0,0,0
1878,3059469,8305259,1,2016,Black,M,22-30,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,Weapon,,M8,Probation,6,6,0,12,100,0,0,0
1879,7650531,4925241,1,2016,Black,M,18-21,Carry Pistol Outside Home/Business,Weapon,,M8,Probation,12,12,0,24,100,0,0,0
1880,9450384,9602360,1,2016,Black,M,22-30,Attempt to Commit Robbery,Violent,,M8,Long Split,32,8,24,24,100,0,780,0
1881,9450384,9602360,2,2016,Black,M,22-30,Unlawful Possession of a Firearm (Prior Conviction),Weapon,,M7,Long Split,32,8,24,24,100,0,0,0
1882,2094959,9873417,1,2016,Black,M,18-21,Carry Pistol W/O Lic -Outside Home/Business,Weapon,,M8,Probation,20,20,0,18,100,0,0,0
